,_latitude,_longitude,97_number_of_customers_in_store,268_number_fridges,104_how_many_shelves_does_the_micro_retailer_have,2_current_permanent_employees,4_number_permanent_employees_last_year,103_number_own_fridges,145_number_direct_competitors,24_burnout,272_card_days_receive_money,276_expected_days_informal_credit,36_credit_default_rate,315_frequency_topups,316_frequency_utility_bills,317_home_deliveries,62_frequency_only_services,78_number_home_deliveries_week,172_supplier_frequency
37,19.016607641,-98.2198437676,1,0.0,1,1.0,1.0,2.5,2.0,5.0,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,1.0
38,19.0153365537,-98.2184597477,0,0.0,0,2.0,2.0,2.5,0.0,4.2,1.0,14.2,1.6,9.0,28.5,13.6,2.0,2.0,3.0
39,19.0164672196,-98.2193455473,1,0.0,0,2.0,2.0,2.5,0.0,4.2,1.0,14.2,1.6,9.0,28.5,13.6,4.0,2.0,1.0
40,19.018979,-98.21528,2,2.0,0,2.0,3.0,2.5,6.0,1.0,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,7.0
41,19.018353,-98.215619,2,4.0,8,0.0,0.0,0.0,3.0,7.0,1.0,14.2,1.6,7.0,28.5,13.6,7.0,2.0,2.0
42,19.017786,-98.218263,1,0.0,6,1.0,3.0,2.5,3.0,6.0,1.0,30.0,7.0,9.0,28.5,13.6,10.5,2.0,2.0
43,19.019788,-98.217094,1,0.0,0,4.0,4.0,2.5,4.0,4.2,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,1.0
44,19.0463846914,-98.2025966177,3,7.0,150,0.0,0.0,7.0,3.0,4.2,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,2.0
45,19.046021086,-98.2037023746,3,8.0,130,2.0,0.0,2.5,3.8,4.2,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,7.0
46,19.0254398,-98.249062,3,2.0,10,2.1,1.9,2.5,3.8,4.2,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,3.0
47,19.0120131,-98.2296442,0,0.0,5,2.0,2.0,2.5,2.0,3.0,3.0,14.2,1.6,9.0,28.5,2.0,2.0,2.0,1.0
48,19.0115906,-98.2297252,1,2.0,0,2.0,2.0,1.0,1.0,7.0,1.0,3.0,0.0,9.0,28.5,28.0,28.0,2.0,7.0
49,19.011515,-98.2297851,0,0.0,1,2.1,1.9,2.5,3.8,4.2,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,3.0
50,19.0114826,-98.2297173,0,0.0,2,2.0,0.0,2.5,0.0,4.2,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,2.0
